club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Arsenal FC,Ben White,23,Centre-Back,Brighton,£52.65m,in,Summer,52.65,Premier League,2021,2021/2022
Arsenal FC,Martin Ødegaard,22,Attacking Midfield,Real Madrid,£31.50m,in,Summer,31.5,Premier League,2021,2021/2022
Arsenal FC,Aaron Ramsdale,23,Goalkeeper,Sheff Utd,£25.20m,in,Summer,25.2,Premier League,2021,2021/2022
Arsenal FC,Takehiro Tomiyasu,22,Right-Back,Bologna,£16.74m,in,Summer,16.74,Premier League,2021,2021/2022
Arsenal FC,Albert Sambi Lokonga,21,Central Midfield,RSC Anderlecht,£15.75m,in,Summer,15.75,Premier League,2021,2021/2022
Arsenal FC,Nuno Tavares,21,Left-Back,Benfica,£7.20m,in,Summer,7.2,Premier League,2021,2021/2022
Arsenal FC,Mattéo Guendouzi,22,Central Midfield,Hertha BSC,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Arsenal FC,Lucas Torreira,25,Defensive Midfield,Atlético Madrid,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Arsenal FC,Sead Kolasinac,28,Left-Back,FC Schalke 04,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Arsenal FC,William Saliba,20,Centre-Back,OGC Nice,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Arsenal FC,Joe Willock,21,Central Midfield,Newcastle,£26.46m,out,Summer,26.46,Premier League,2021,2021/2022
Arsenal FC,Lucas Torreira,25,Defensive Midfield,Fiorentina,Loan fee:£1.35m,out,Summer,1.35,Premier League,2021,2021/2022
Arsenal FC,Willian,33,Right Winger,Corinthians,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Arsenal FC,Mattéo Guendouzi,22,Central Midfield,Marseille,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Arsenal FC,William Saliba,20,Centre-Back,Marseille,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Arsenal FC,Dejan Iliev,26,Goalkeeper,Sered,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Arsenal FC,Héctor Bellerín,26,Right-Back,Real Betis,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Arsenal FC,Rúnar Alex Rúnarsson,26,Goalkeeper,OH Leuven,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Arsenal FC,Reiss Nelson,21,Left Winger,Feyenoord,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Arsenal FC,David Luiz,34,Centre-Back,Without Club,-,out,Summer,0,Premier League,2021,2021/2022
Arsenal FC,Martin Ødegaard,22,Attacking Midfield,Real Madrid,"End of loanJun 30, 2021",out,Summer,0,Premier League,2021,2021/2022
Arsenal FC,Mathew Ryan,29,Goalkeeper,Brighton,"End of loanJun 30, 2021",out,Summer,0,Premier League,2021,2021/2022
Arsenal FC,Dani Ceballos,24,Central Midfield,Real Madrid,"End of loanJun 30, 2021",out,Summer,0,Premier League,2021,2021/2022
Aston Villa,Emiliano Buendía,24,Right Winger,Norwich,£34.56m,in,Summer,34.56,Premier League,2021,2021/2022
Aston Villa,Leon Bailey,23,Left Winger,Bay. Leverkusen,£28.80m,in,Summer,28.8,Premier League,2021,2021/2022
Aston Villa,Danny Ings,29,Centre-Forward,Southampton,£26.48m,in,Summer,26.48,Premier League,2021,2021/2022
Aston Villa,Ashley Young,35,Left-Back,Inter,free transfer,in,Summer,NA,Premier League,2021,2021/2022
Aston Villa,Axel Tuanzebe,23,Centre-Back,Man Utd,loan transfer,in,Summer,NA,Premier League,2021,2021/2022
Aston Villa,Carney Chukwuemeka,17,Central Midfield,Aston Villa U23,-,in,Summer,0,Premier League,2021,2021/2022
Aston Villa,Keinan Davis,24,Centre-Forward,Nottm Forest,"End of loanMay 31, 2022",in,Summer,0,Premier League,2021,2021/2022
Aston Villa,Conor Hourihane,31,Central Midfield,Sheff Utd,"End of loanMay 31, 2022",in,Summer,0,Premier League,2021,2021/2022
Aston Villa,Frédéric Guilbert,26,Right-Back,R. Strasbourg,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Aston Villa,Ally Samatta,28,Centre-Forward,Fenerbahce,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Aston Villa,Jack Grealish,25,Left Winger,Man City,£105.75m,out,Summer,105.75,Premier League,2021,2021/2022
Aston Villa,Ally Samatta,28,Centre-Forward,Fenerbahce,£5.40m,out,Summer,5.4,Premier League,2021,2021/2022
Aston Villa,Björn Engels,26,Centre-Back,Royal Antwerp,£3.15m,out,Summer,3.15,Premier League,2021,2021/2022
Aston Villa,Tom Heaton,35,Goalkeeper,Man Utd,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Aston Villa,Frédéric Guilbert,26,Right-Back,R. Strasbourg,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Aston Villa,Wesley,24,Centre-Forward,Club Brugge,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Aston Villa,Conor Hourihane,30,Central Midfield,Sheff Utd,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Aston Villa,Ahmed Elmohamady,33,Right-Back,Without Club,-,out,Summer,0,Premier League,2021,2021/2022
Aston Villa,Neil Taylor,32,Left-Back,Without Club,-,out,Summer,0,Premier League,2021,2021/2022
Aston Villa,Axel Tuanzebe,24,Centre-Back,Man Utd,"End of loanMay 31, 2022",out,Summer,0,Premier League,2021,2021/2022
Brentford FC,Kristoffer Ajer,23,Centre-Back,Celtic,£14.13m,in,Summer,14.13,Premier League,2021,2021/2022
Brentford FC,Yoane Wissa,24,Left Winger,FC Lorient,£9.00m,in,Summer,9,Premier League,2021,2021/2022
Brentford FC,Frank Onyeka,23,Central Midfield,FC Midtjylland,£9.00m,in,Summer,9,Premier League,2021,2021/2022
Brentford FC,Álvaro Fernández,23,Goalkeeper,SD Huesca,Loan fee:£900Th.,in,Summer,0.9,Premier League,2021,2021/2022
Brentford FC,Mads Bidstrup,20,Central Midfield,Brentford B,-,in,Summer,0,Premier League,2021,2021/2022
Brentford FC,Zanka,31,Centre-Back,Without Club,-,in,Summer,0,Premier League,2021,2021/2022
Brentford FC,Ellery Balcombe,22,Goalkeeper,Burton Albion,"End of loanMay 31, 2022",in,Summer,0,Premier League,2021,2021/2022
Brentford FC,Julian Jeanvier,29,Centre-Back,Kasimpasa,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Brentford FC,Halil Dervisoglu,21,Centre-Forward,Galatasaray,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Brentford FC,Patrik Gunnarsson,20,Goalkeeper,Silkeborg IF,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Brentford FC,Joel Valencia,26,Left Winger,Legia Warszawa,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Brentford FC,Halil Dervisoglu,21,Centre-Forward,Galatasaray,Loan fee:£900Th.,out,Summer,0.9,Premier League,2021,2021/2022
Brentford FC,Emiliano Marcondes,26,Attacking Midfield,Bournemouth,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Brentford FC,Luke Daniels,33,Goalkeeper,Middlesbrough,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Brentford FC,Henrik Dalsgaard,31,Right-Back,FC Midtjylland,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Brentford FC,Patrik Gunnarsson,20,Goalkeeper,Viking FK,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Brentford FC,Ellery Balcombe,21,Goalkeeper,Burton Albion,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Brentford FC,Álvaro Fernández,24,Goalkeeper,SD Huesca,"End of loanJun 30, 2022",out,Summer,0,Premier League,2021,2021/2022
Brighton & Hove Albion,Marc Cucurella,23,Left-Back,Getafe,£16.20m,in,Summer,16.2,Premier League,2021,2021/2022
Brighton & Hove Albion,Enock Mwepu,23,Central Midfield,RB Salzburg,£11.70m,in,Summer,11.7,Premier League,2021,2021/2022
Brighton & Hove Albion,Abdallah Sima,20,Right Winger,Slavia Prague,£6.03m,in,Summer,6.03,Premier League,2021,2021/2022
Brighton & Hove Albion,Kjell Scherpen,21,Goalkeeper,Ajax,£4.50m,in,Summer,4.5,Premier League,2021,2021/2022
Brighton & Hove Albion,Kaoru Mitoma,24,Left Winger,Kawasaki Front.,£2.70m,in,Summer,2.7,Premier League,2021,2021/2022
Brighton & Hove Albion,Taylor Richards,20,Attacking Midfield,Brighton U23,-,in,Summer,0,Premier League,2021,2021/2022
Brighton & Hove Albion,Haydon Roberts,19,Centre-Back,Brighton U23,-,in,Summer,0,Premier League,2021,2021/2022
Brighton & Hove Albion,Abdallah Sima,20,Right Winger,Stoke City,"End of loanMay 31, 2022",in,Summer,0,Premier League,2021,2021/2022
Brighton & Hove Albion,Jürgen Locadia,27,Centre-Forward,Cincinnati,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Brighton & Hove Albion,Aaron Connolly,22,Centre-Forward,Middlesbrough,"End of loanMay 31, 2022",in,Summer,0,Premier League,2021,2021/2022
Brighton & Hove Albion,Christian Walton,26,Goalkeeper,Ipswich,"End of loanMay 31, 2022",in,Summer,0,Premier League,2021,2021/2022
Brighton & Hove Albion,Jan Paul van Hecke,21,Centre-Back,Blackburn,"End of loanMay 31, 2022",in,Summer,0,Premier League,2021,2021/2022
Brighton & Hove Albion,Kaoru Mitoma,25,Left Winger,Union SG,"End of loanJun 30, 2022",in,Summer,0,Premier League,2021,2021/2022
Brighton & Hove Albion,Matt Clarke,25,Centre-Back,West Brom,"End of loanMay 31, 2022",in,Summer,0,Premier League,2021,2021/2022
Brighton & Hove Albion,Mathew Ryan,29,Goalkeeper,Arsenal,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Brighton & Hove Albion,Bernardo,26,Left-Back,RB Salzburg,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Brighton & Hove Albion,Tudor Baluta,22,Defensive Midfield,Dynamo Kyiv,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Brighton & Hove Albion,Jan Paul van Hecke,21,Centre-Back,Heerenveen,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Brighton & Hove Albion,Jan Mlakar,22,Centre-Forward,NK Maribor,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Brighton & Hove Albion,Ben White,23,Centre-Back,Arsenal,£52.65m,out,Summer,52.65,Premier League,2021,2021/2022
Brighton & Hove Albion,Percy Tau,27,Centre-Forward,El Ahly,£1.62m,out,Summer,1.62,Premier League,2021,2021/2022
Brighton & Hove Albion,Viktor Gyökeres,23,Centre-Forward,Coventry,£1.08m,out,Summer,1.08,Premier League,2021,2021/2022
Brighton & Hove Albion,Alireza Jahanbakhsh,27,Right Winger,Feyenoord,£900Th.,out,Summer,0.9,Premier League,2021,2021/2022
Brighton & Hove Albion,Michal Karbownik,20,Right-Back,Olympiacos,Loan fee:£900Th.,out,Summer,0.9,Premier League,2021,2021/2022
Brighton & Hove Albion,José Izquierdo,29,Left Winger,Club Brugge,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Brighton & Hove Albion,Davy Pröpper,29,Central Midfield,PSV Eindhoven,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Brighton & Hove Albion,Mathew Ryan,29,Goalkeeper,Real Sociedad,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Brighton & Hove Albion,Kaoru Mitoma,24,Left Winger,Union SG,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Brighton & Hove Albion,Jan Mlakar,22,Centre-Forward,Hajduk Split,?,out,Summer,NA,Premier League,2021,2021/2022
Brighton & Hove Albion,Bernardo,26,Left-Back,RB Salzburg,?,out,Summer,NA,Premier League,2021,2021/2022
Brighton & Hove Albion,Jan Paul van Hecke,21,Centre-Back,Blackburn,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Brighton & Hove Albion,Andi Zeqiri,22,Centre-Forward,FC Augsburg,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Brighton & Hove Albion,Florin Andone,28,Centre-Forward,Cádiz CF,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Brighton & Hove Albion,Leo Östigard,21,Centre-Back,Stoke City,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Brighton & Hove Albion,Abdallah Sima,20,Right Winger,Stoke City,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Brighton & Hove Albion,Matt Clarke,24,Centre-Back,West Brom,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Brighton & Hove Albion,Christian Walton,25,Goalkeeper,Ipswich,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Brighton & Hove Albion,Moisés Caicedo,19,Central Midfield,Beerschot V.A.,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Burnley FC,Maxwel Cornet,24,Left Winger,Olympique Lyon,£13.50m,in,Summer,13.5,Premier League,2021,2021/2022
Burnley FC,Nathan Collins,20,Centre-Back,Stoke City,£12.60m,in,Summer,12.6,Premier League,2021,2021/2022
Burnley FC,Connor Roberts,25,Right-Back,Swansea,£2.61m,in,Summer,2.61,Premier League,2021,2021/2022
Burnley FC,Wayne Hennessey,34,Goalkeeper,Crystal Palace,free transfer,in,Summer,NA,Premier League,2021,2021/2022
Burnley FC,Aaron Lennon,34,Right Winger,Kayserispor,free transfer,in,Summer,NA,Premier League,2021,2021/2022
Burnley FC,Jacob Bedeau,21,Centre-Back,Scunthorpe Utd.,free transfer,in,Summer,NA,Premier League,2021,2021/2022
Burnley FC,Lukas Jensen,22,Goalkeeper,Kórdrengir,"End of loanJul 10, 2021",in,Summer,0,Premier League,2021,2021/2022
Burnley FC,Lukas Jensen,23,Goalkeeper,Carlisle United,"End of loanMay 31, 2022",in,Summer,0,Premier League,2021,2021/2022
Burnley FC,Bailey Peacock-Farrell,25,Goalkeeper,Sheff Wed,"End of loanMay 31, 2022",in,Summer,0,Premier League,2021,2021/2022
Burnley FC,Ben Gibson,28,Centre-Back,Norwich,£8.37m,out,Summer,8.37,Premier League,2021,2021/2022
Burnley FC,Lukas Jensen,22,Goalkeeper,Carlisle United,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Burnley FC,Jimmy Dunne,23,Centre-Back,QPR,?,out,Summer,NA,Premier League,2021,2021/2022
Burnley FC,Josh Benson,21,Central Midfield,Barnsley FC,?,out,Summer,NA,Premier League,2021,2021/2022
Burnley FC,Bailey Peacock-Farrell,24,Goalkeeper,Sheff Wed,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Burnley FC,Robbie Brady,29,Left Midfield,Without Club,-,out,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Romelu Lukaku,28,Centre-Forward,Inter,£103.50m,in,Summer,103.5,Premier League,2021,2021/2022
Chelsea FC,Saúl Ñíguez,26,Central Midfield,Atlético Madrid,Loan fee:£4.50m,in,Summer,4.5,Premier League,2021,2021/2022
Chelsea FC,Marcus Bettinelli,29,Goalkeeper,Fulham,free transfer,in,Summer,NA,Premier League,2021,2021/2022
Chelsea FC,Trevoh Chalobah,21,Centre-Back,Chelsea U23,-,in,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Malang Sarr,22,Centre-Back,FC Porto,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Danilo Pantic,24,Attacking Midfield,Cukaricki,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Kenedy,25,Left Winger,Granada CF,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Lewis Baker,26,Central Midfield,Trabzonspor,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Danny Drinkwater,32,Central Midfield,Reading,"End of loanMay 31, 2022",in,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Davide Zappacosta,29,Right-Back,Genoa,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Matt Miazga,25,Centre-Back,RSC Anderlecht,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Tiemoué Bakayoko,26,Defensive Midfield,SSC Napoli,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Abdul-Rahman Baba,27,Left-Back,Reading,"End of loanMay 31, 2022",in,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Jake Clarke-Salter,24,Centre-Back,Coventry,"End of loanMay 31, 2022",in,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Marco van Ginkel,28,Central Midfield,PSV Eindhoven,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Victor Moses,30,Right Midfield,Spartak Moscow,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Danny Drinkwater,31,Central Midfield,Kasimpasa,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Fikayo Tomori,23,Centre-Back,AC Milan,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Abdul-Rahman Baba,26,Left-Back,PAOK Salonika,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Billy Gilmour,20,Central Midfield,Norwich,"End of loanMay 31, 2022",in,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Tammy Abraham,23,Centre-Forward,AS Roma,£36.00m,out,Summer,36,Premier League,2021,2021/2022
Chelsea FC,Kurt Zouma,26,Centre-Back,West Ham,£31.50m,out,Summer,31.5,Premier League,2021,2021/2022
Chelsea FC,Fikayo Tomori,23,Centre-Back,AC Milan,£25.92m,out,Summer,25.92,Premier League,2021,2021/2022
Chelsea FC,Davide Zappacosta,29,Right-Back,Atalanta BC,£8.10m,out,Summer,8.1,Premier League,2021,2021/2022
Chelsea FC,Victor Moses,30,Right Midfield,Spartak Moscow,£4.50m,out,Summer,4.5,Premier League,2021,2021/2022
Chelsea FC,Tiemoué Bakayoko,27,Defensive Midfield,AC Milan,Loan fee:£1.80m,out,Summer,1.8,Premier League,2021,2021/2022
Chelsea FC,Olivier Giroud,34,Centre-Forward,AC Milan,£900Th.,out,Summer,0.9,Premier League,2021,2021/2022
Chelsea FC,Emerson,27,Left-Back,Olympique Lyon,Loan fee:£450Th.,out,Summer,0.45,Premier League,2021,2021/2022
Chelsea FC,Kenedy,25,Left Winger,Flamengo,Loan fee:£450Th.,out,Summer,0.45,Premier League,2021,2021/2022
Chelsea FC,Michy Batshuayi,27,Centre-Forward,Besiktas,Loan fee:£135Th.,out,Summer,0.135,Premier League,2021,2021/2022
Chelsea FC,Marco van Ginkel,28,Central Midfield,PSV Eindhoven,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Chelsea FC,Izzy Brown,24,Second Striker,Preston,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Chelsea FC,Danilo Pantic,24,Attacking Midfield,Partizan,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Chelsea FC,Matt Miazga,26,Centre-Back,Alavés,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Chelsea FC,Billy Gilmour,20,Central Midfield,Norwich,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Chelsea FC,Abdul-Rahman Baba,27,Left-Back,Reading,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Chelsea FC,Danny Drinkwater,31,Central Midfield,Reading,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Chelsea FC,Ethan Ampadu,20,Centre-Back,Venezia,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Chelsea FC,Jake Clarke-Salter,23,Centre-Back,Coventry,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Chelsea FC,Jamal Blackman,27,Goalkeeper,Without Club,-,out,Summer,0,Premier League,2021,2021/2022
Chelsea FC,Willy Caballero,39,Goalkeeper,Without Club,-,out,Summer,0,Premier League,2021,2021/2022
Crystal Palace,Marc Guehi,21,Centre-Back,Chelsea U23,£21.00m,in,Summer,21,Premier League,2021,2021/2022
Crystal Palace,Joachim Andersen,25,Centre-Back,Olympique Lyon,£15.75m,in,Summer,15.75,Premier League,2021,2021/2022
Crystal Palace,Odsonne Edouard,23,Centre-Forward,Celtic,£14.67m,in,Summer,14.67,Premier League,2021,2021/2022
Crystal Palace,Michael Olise,19,Attacking Midfield,Reading,£8.37m,in,Summer,8.37,Premier League,2021,2021/2022
Crystal Palace,Will Hughes,26,Central Midfield,Watford,£6.30m,in,Summer,6.3,Premier League,2021,2021/2022
Crystal Palace,Jacob Montes,22,Attacking Midfield,Georgetown,free transfer,in,Summer,NA,Premier League,2021,2021/2022
Crystal Palace,Remi Matthews,27,Goalkeeper,Sunderland,free transfer,in,Summer,NA,Premier League,2021,2021/2022
Crystal Palace,Conor Gallagher,21,Central Midfield,Chelsea U23,loan transfer,in,Summer,NA,Premier League,2021,2021/2022
Crystal Palace,Jaroslaw Jach,27,Centre-Back,Rakow,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Crystal Palace,James McCarthy,30,Central Midfield,Celtic,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Crystal Palace,Wayne Hennessey,34,Goalkeeper,Burnley,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Crystal Palace,Mamadou Sakho,31,Centre-Back,Montpellier,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Crystal Palace,Patrick van Aanholt,30,Left-Back,Galatasaray,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Crystal Palace,Andros Townsend,30,Right Winger,Everton,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Crystal Palace,Scott Dann,34,Centre-Back,Reading,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Crystal Palace,Gary Cahill,35,Centre-Back,Bournemouth,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Crystal Palace,Jacob Montes,22,Attacking Midfield,Waasl.-Beveren,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Crystal Palace,Connor Wickham,28,Centre-Forward,Without Club,-,out,Summer,0,Premier League,2021,2021/2022
Crystal Palace,Sam Woods,22,Centre-Back,Without Club,-,out,Summer,0,Premier League,2021,2021/2022
Crystal Palace,Stephen Henderson,33,Goalkeeper,Without Club,-,out,Summer,0,Premier League,2021,2021/2022
Crystal Palace,Conor Gallagher,22,Central Midfield,Chelsea U23,"End of loanMay 31, 2022",out,Summer,0,Premier League,2021,2021/2022
Everton FC,Demarai Gray,25,Left Winger,Bay. Leverkusen,£1.80m,in,Summer,1.8,Premier League,2021,2021/2022
Everton FC,Salomón Rondón,31,Centre-Forward,DL Pro,free transfer,in,Summer,NA,Premier League,2021,2021/2022
Everton FC,Asmir Begovic,34,Goalkeeper,Bournemouth,free transfer,in,Summer,NA,Premier League,2021,2021/2022
Everton FC,Andros Townsend,30,Right Winger,Crystal Palace,free transfer,in,Summer,NA,Premier League,2021,2021/2022
Everton FC,Andy Lonergan,37,Goalkeeper,West Brom,free transfer,in,Summer,NA,Premier League,2021,2021/2022
Everton FC,Moise Kean,21,Centre-Forward,Paris SG,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Everton FC,Jonjoe Kenny,24,Right-Back,Celtic,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Everton FC,Cenk Tosun,30,Centre-Forward,Besiktas,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Everton FC,James Rodríguez,30,Attacking Midfield,Al-Rayyan SC,£7.20m,out,Summer,7.2,Premier League,2021,2021/2022
Everton FC,Moise Kean,21,Centre-Forward,Juventus,Loan fee:£6.30m,out,Summer,6.3,Premier League,2021,2021/2022
Everton FC,Bernard,28,Left Winger,Sharjah FC,£900Th.,out,Summer,0.9,Premier League,2021,2021/2022
Everton FC,Joshua King,29,Second Striker,Watford,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Everton FC,Beni Baningime,22,Central Midfield,Heart of Midl.,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Everton FC,Yannick Bolasie,32,Left Winger,C. Rizespor,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Everton FC,Matthew Pennington,26,Centre-Back,Shrewsbury,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Everton FC,Theo Walcott,32,Right Winger,Southampton,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Everton FC,João Virgínia,21,Goalkeeper,Sporting CP,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Everton FC,Niels Nkounkou,20,Left-Back,Standard Liège,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Everton FC,Muhamed Besic,28,Defensive Midfield,Without Club,-,out,Summer,0,Premier League,2021,2021/2022
Everton FC,Robin Olsen,31,Goalkeeper,AS Roma,"End of loanJun 30, 2021",out,Summer,0,Premier League,2021,2021/2022
Leeds United,Daniel James,23,Left Winger,Man Utd,£26.19m,in,Summer,26.19,Premier League,2021,2021/2022
Leeds United,Junior Firpo,24,Left-Back,Barcelona,£13.50m,in,Summer,13.5,Premier League,2021,2021/2022
Leeds United,Jack Harrison,24,Left Winger,Man City,£11.52m,in,Summer,11.52,Premier League,2021,2021/2022
Leeds United,Kristoffer Klaesson,20,Goalkeeper,Vålerenga,£1.80m,in,Summer,1.8,Premier League,2021,2021/2022
Leeds United,Crysencio Summerville,19,Right Winger,Leeds U23,-,in,Summer,0,Premier League,2021,2021/2022
Leeds United,Ian Poveda,22,Right Winger,Blackburn,"End of loanMay 31, 2022",in,Summer,0,Premier League,2021,2021/2022
Leeds United,Leif Davis,22,Left-Back,Bournemouth,"End of loanMay 31, 2022",in,Summer,0,Premier League,2021,2021/2022
Leeds United,Mateusz Bogusz,19,Central Midfield,UD Logroñés,"End of loanJun 30, 2021",in,Summer,0,Premier League,2021,2021/2022
Leeds United,Robbie Gotts,21,Central Midfield,Barrow,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Leeds United,Barry Douglas,31,Left-Back,Lech Poznan,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Leeds United,Ezgjan Alioski,29,Left-Back,Ahli,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Leeds United,Ouasim Bouy,28,Defensive Midfield,Al-Kharaitiyat,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Leeds United,Pablo Hernández,36,Attacking Midfield,CD Castellón,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Leeds United,Jordan Stevens,21,Right Midfield,Barrow,free transfer,out,Summer,NA,Premier League,2021,2021/2022
Leeds United,Hélder Costa,27,Right Winger,Valencia,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Leeds United,Mateusz Bogusz,19,Central Midfield,UD Ibiza,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Leeds United,Kiko Casilla,34,Goalkeeper,Elche CF,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Leeds United,Leif Davis,21,Left-Back,Bournemouth,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Leeds United,Ian Poveda,21,Right Winger,Blackburn,loan transfer,out,Summer,NA,Premier League,2021,2021/2022
Leeds United,Eunan O'Kane,30,Central Midfield,Without Club,-,out,Summer,0,Premier League,2021,2021/2022
Leeds United,Gaetano Berardi,32,Right-Back,Without Club,-,out,Summer,0,Premier League,2021,2021/2022
Leicester City,Patson Daka,22,Centre-Forward,RB Salzburg,£27.00m,in,Summer,27,Premier League,2021,2021/2022
